id,label,message
0,0,Hey tmr maybe can meet you at yck
1,0,Smith waste da.i wanna gayle.
2,1,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50
3,0,Just finished. Missing you plenty
4,0,U too...
5,0,am up to my eyes in philosophy
6,0,Are you going to write ccna exam this week??
7,0,R u in this continent?
8,0,IÛ? parked next to a MINI!!!! When are you coming in today do you think?
9,0,Cool. So how come you havent been wined and dined before?
10,0,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
11,0,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
12,0,K...k:)why cant you come here and search job:)
13,1,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
14,0,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
15,0,Ok i am on the way to railway
16,1,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
17,0,Hello which the site to download songs its urgent pls
18,0,Great to hear you are settling well. So what's happenin wit ola?
19,0,ÌÏ come lt 25 n pass to me lar
20,0,Ok thanx... Take care then...
21,0,Ay wana meet on sat?? wkg on sat?
22,0,Dunno dat's wat he told me. Ok lor...
23,1,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
24,1,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
25,0,"Yo, the game almost over? Want to go to walmart soon"
26,0,No calls..messages..missed calls
27,0,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! 
28,0,Super da:)good replacement for murali
29,0,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
30,0,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
31,0,Any pain on urination any thing else?
32,0,Mum ask ? to buy food home...
33,0,Alright i have a new goal now
34,0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b
35,0,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
36,0,Ya even those cookies have jelly on them
37,0,Those ducking chinchillas
38,0,"Velly good, yes please!"
39,0,Will it help if we propose going back again tomorrow
40,0,You are a very very very very bad girl. Or lady.
41,0,Its sarcasm.. .nt scarcasim
42,0,Yes da. Any plm at ur office
43,0,How much are we getting?
44,0,Were gonna go get some tacos
45,0,"I'll see, but prolly yeah"
46,0,Uhhhhrmm isnt having tb test bad when youre sick
47,1,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
48,0,Nope... Juz off from work...
49,0,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...
50,0,U sure u can't take any sick time?
51,0,Should i send you naughty pix? :)
52,0,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.
53,0,Yup ? not comin :-(
54,0,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
55,0,S but mostly not like that.
56,1,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!"
57,0,You do what all you like
58,1,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
59,0,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
60,0,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
61,0,I'll reach in ard 20 mins ok...
62,0,"Yep, by the pretty sculpture"
63,0,meet you in corporation st outside gap Û_ you can see how my mind is working!
64,0,No plm i will come da. On the way.
65,0,Just finished eating. Got u a plate. NOT leftovers this time.
66,0,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx"
67,0,I jokin oni lar.. ÌÏ busy then i wun disturb ?.
68,0,Haha okay... Today weekend leh... 
69,0,Whom you waited for yesterday
70,0,Stupid auto correct on my phone
71,0,Beauty sleep can help ur pimples too.
72,1,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
