[ 3764.038943] tgid, 4838, delta_vrun, 11034, delta_rrun, 11034, prio, 120
[ 3764.121944] tgid, 1840, delta_vrun, 45551, delta_rrun, 45551, prio, 120
[ 3765.227338] tgid, 2739, delta_vrun, 6162, delta_rrun, 6162, prio, 120
[ 3765.543511] tgid, 2415, delta_vrun, 3807, delta_rrun, 82950, prio, 110
[ 3766.859946] tgid, 2415, delta_vrun, 238, delta_rrun, 108572, prio, 110
[ 3769.213962] tgid, 2739, delta_vrun, 648032, delta_rrun, 655861, prio, 120
[ 3769.603507] tgid, 2415, delta_vrun, 9604, delta_rrun, 89551, prio, 110
[ 3770.843773] tgid, 2739, delta_vrun, 9963, delta_rrun, 9963, prio, 120
[ 3771.445620] tgid, 2415, delta_vrun, 447, delta_rrun, 261941, prio, 110
[ 3771.893706] tgid, 2039, delta_vrun, 6397, delta_rrun, 6397, prio, 120
[ 3772.414334] tgid, 2039, delta_vrun, 153304, delta_rrun, 266406, prio, 120
[ 3773.112310] tgid, 1840, delta_vrun, 17023, delta_rrun, 17023, prio, 120
[ 3773.242529] tgid, 2039, delta_vrun, 224055, delta_rrun, 224055, prio, 120
[ 3773.668635] tgid, 2739, delta_vrun, 48315, delta_rrun, 48315, prio, 120
[ 3774.381795] tgid, 2415, delta_vrun, 4935, delta_rrun, 48073, prio, 110
[ 3774.751559] tgid, 2039, delta_vrun, 13685, delta_rrun, 15493, prio, 120
[ 3775.383035] tgid, 2739, delta_vrun, 9134, delta_rrun, 9134, prio, 120
[ 3775.743511] tgid, 1840, delta_vrun, 34472, delta_rrun, 34472, prio, 120
[ 3776.051981] tgid, 2415, delta_vrun, 3470, delta_rrun, 32360, prio, 110
[ 3776.133197] tgid, 2397, delta_vrun, 79822, delta_rrun, 79822, prio, 120
[ 3776.201303] tgid, 2415, delta_vrun, 3802, delta_rrun, 50191, prio, 110
[ 3776.876492] tgid, 2039, delta_vrun, 226920, delta_rrun, 226920, prio, 120
[ 3779.104861] tgid, 1840, delta_vrun, 641219, delta_rrun, 641219, prio, 120
[ 3779.600531] tgid, 2739, delta_vrun, 8228, delta_rrun, 8228, prio, 120
[ 3779.848977] tgid, 2415, delta_vrun, 3066, delta_rrun, 28591, prio, 110
[ 3780.747954] tgid, 2739, delta_vrun, 9161, delta_rrun, 50639, prio, 120
[ 3780.999065] tgid, 2415, delta_vrun, 1117, delta_rrun, 10424, prio, 110
[ 3781.298892] tgid, 2192, delta_vrun, 18411, delta_rrun, 104316, prio, 120
[ 3781.436869] tgid, 10, delta_vrun, 10850, delta_rrun, 10850, prio, 120
[ 3781.499745] tgid, 1840, delta_vrun, 32631, delta_rrun, 32631, prio, 120
[ 3781.666919] tgid, 1840, delta_vrun, 6790, delta_rrun, 169668, prio, 120
