no,year,title,eng_full
1,2021.0,Social–Emotional Characteristics and Adjustment of Accelerated University Students: A Systematic Review,"Social–Emotional Characteristics and Adjustment of Accelerated University Students: A Systematic Review academic acceleration, giftedness, social–emotional adjustment, adjustment to university, systematic review Gifted students who experienced grade-based acceleration in primary or secondary education have to meet the challenges of adjusting to university at a younger age than students who did not accelerate. This systematic review critically evaluates the research on social–emotional characteristics and adjustment of these gifted accelerated university students. Based on a review of 22 studies, we may conclude that accelerated students did not differ very much in domains of social–emotional characteristics from their nonaccelerated gifted and nongifted peers. Factors that facilitated adjustment and well-being were cheerfulness, resilience, self-efficacy, a positive self-concept, high prior academic achievement, and supportive family environment. Furthermore, it was found that studies were incomplete in reporting the previous acceleration experiences of the students and that research on students who individually accelerated by 1 or 2 years was scarce. Future research should include individually accelerated students, previous acceleration experiences, gender differences, and comparison groups."
2,2021.0,Do Mass Media Shape Stereotypes About Intellectually Gifted Individuals? Two Experiments on Stigmatization Effects From Biased Newspaper Reports,"Do Mass Media Shape Stereotypes About Intellectually Gifted Individuals? Two Experiments on Stigmatization Effects From Biased Newspaper Reports attitudes toward the gifted, experimental design, intellectual giftedness, media influence Negative stereotypes about intellectually gifted individuals prevail among teachers and in society although empirical research has debunked them. They are also dominant in mass media representations of gifted individuals such as newspaper reports. The present study investigated whether stereotypic representations in newspaper articles contribute to the stigmatization of gifted individuals and whether nonstereotypic, evidence-based representations might help destigmatize gifted individuals. Two randomized controlled studies with N = 431 and N = 432 university students, respectively, were conducted. In both experiments, the stereotypic representation caused more negative attitudes toward gifted individuals (d = 0.86/0.81), whereas the evidence-based representation caused more positive attitudes (d = −0.54/−0.58), compared with a control group. Quality of previous relationships with gifted persons moderated both effects to some extent; however, both effects were quite robust against potential moderators. Results indicate that the media should be aware of their influence on recipients’ attitudes. Giftedness researchers should more actively join in the public debate to counteract stigmatization of intellectually gifted individuals."
3,2021.0,College Choice: Considerations for Academically Advanced High School Seniors,"College Choice: Considerations for Academically Advanced High School Seniors interviews; thematic analysis; qualitative descriptive When choosing a college, high school students and those who guide them through the process must consider the complex interactions between student-level and institution-level variables in order to achieve an optimal person-environment fit. Ten academically advanced high school students who had chosen and committed to attending a college participated in semistructured interviews in which they rank-ordered and discussed the college choice considerations they used in the decision-making process. This qualitative study describes six themes that were identified across participants. The college-going identity of these academically advanced students was influenced by pressure to attend a highly selective school, social comparisons, and early career exploration opportunities. Additionally, when evaluating institution characteristics, these academically talented high school seniors questioned the relationship between quality, cost, and prestige, appreciated flexible learning options, and sought opportunities for immersion in a domain."
4,2021.0,Intellectual Precocity: What Have We Learned Since Terman?,"Intellectual Precocity: What Have We Learned Since Terman? basic interpretive; mixed methods; psychometrics; assessment; creativity; gifted Over the past 50 years, eight robust generalizations about intellectual precocity have emerged, been empirically documented, and replicated through longitudinal research. Within the top 1% of general and specific abilities (mathematical, spatial, and verbal) over one third of the range of individual differences are to be found, and they are meaningful. These individual differences in ability level and in pattern of specific abilities, which are uncovered by the use of above-level assessments, structure consequential quantitative and qualitative differences in educational, occupational, and creative outcomes. There is no threshold effect for abilities in predicting future accomplishments; and the concept of multipotentiality evaporates when assessments cover the full range of all three primary abilities. Beyond abilities, educational/occupational interests add value in identifying optimal learning environments for precocious youth and, with the addition of conative variables, for modeling subsequent life span development. While overall professional outcomes of exceptionally precocious youth are as exceptional as their abilities, educational interventions of sufficient dosage enhance the probability of them leading exceptionally impactful careers and making creative contributions. Findings have made evident the psychological diversity within intellectually precocious populations, their meaningfulness, and the environmental diversity required to meet their learning needs. Seeing giftedness and interventions on their behalf categorically has held the field back."
5,2021.0,Assessing the Scholarly Reach of Terman's Work,"Assessing the Scholarly Reach of Terman's Work bibliometric; gifted education; Lewis Terman Lewis M. Terman'sGenetic Studies of Geniusstands as one of the landmark studies of the 20th century in the educational and psychological sciences. This longitudinal study of individuals in the top 1% of general cognitive ability has sparked interest and debate among scholars for nearly 100 years. In this study, we examine how Terman'sGenetic Studies of Geniushas influenced academia through a bibliometric citation analysis. We gathered all scholarly works that cited one of the volumes of Terman'sGenetic Studies of Geniusand appeared in academic journals and mapped out the growth of scholarly citations within differing academic fields. We found that the influence of Terman's studies extends beyond the field of education and psychology into business, medicine, and the sciences."
6,2020.0,Reducing Levels of Perfectionism in Gifted and Talented Youth Through a Mindfulness Intervention,"Reducing Levels of Perfectionism in Gifted and Talented Youth Through a Mindfulness Intervention adolescents; ANOVA; MANOVA; mindfulness; perfectionism; quasi-experimental Gifted youth frequently experience perfectionism, which for some can affect their emotional well-being. This study evaluated the effectiveness of a 6-week mindfulness intervention for 42 middle school students who were identified as Gifted and Talented. Participants' levels of self-oriented and socially prescribed perfectionism, as well as their use of mindfulness practices, were evaluated pre- and post- intervention, as well as at a 5-week follow-up to assess changes in perfectionism ratings and use of mindfulness. Three Bonferroni-adjusted, one-way, repeated measures analyses of variance were performed, and the results indicated a significant decrease in self-oriented perfectionism and an increase in mindfulness at both the end of the intervention and at follow-up. These findings support the use of mindfulness as an appropriate intervention to reduce self-imposed forms of perfectionism among gifted youth."
7,2020.0,"Similarities and Differences Between Intellectually Gifted and Average-Ability Students in School Performance, Motivation, and Subjective Well-Being","Similarities and Differences Between Intellectually Gifted and Average-Ability Students in School Performance, Motivation, and Subjective Well-Being giftedness; ability self-concept; vocational interests; academic achievement Terman's study was the first to systematically document the lives of the intellectually gifted. This cross-sectional study replicates and extends some of Terman's findings on characteristics of the gifted in childhood, comparing largely unselected samples of gifted (n = 50) and average-ability (n = 50) adolescents matched by means of propensity score matching. Students were compared on their school performance (standardized math and reading tests and grades), motivation (math ability self-concept, intrinsic motivation, vocational interests, and educational aspirations), parental educational expectations, students' evaluation of school instruction (perceived quality and pressure), and subjective well-being. The gifted scored higher on math performance (rank-biserialr = .66/.81), math ability self-concept (.71), intrinsic motivation (.62), and investigative vocational interests (.65). Some smaller differences were found for realistic (.42) and social interests (-.37) and for pressure in math lessons (-.52). Results support Terman's findings on gifted individuals' psychological functioning and contradict negative stereotypes about the gifted."
8,2020.0,Test-Taking for Gifted and Talented Kindergarten: Underscoring the Importance of Outreach,"Test-Taking for Gifted and Talented Kindergarten: Underscoring the Importance of Outreach diversity; access and equity; gifted identification; information dissemination; matching methods; mixed effects logistic regression; observational study Using proprietary data collected prior to the establishment of the public Universal Prekindergarten program in New York City, this study finds statistically significant differences in test-taking rates for the city's Gifted & Talented (G & T) program between two matched samples of students-those who attended a public prekindergarten (pre-K) program and those who did not-for each of four cohorts from 2008 to 2011, favoring the public pre-K group. Results also demonstrate that access to information about the G & T program is a plausible mechanism underlying the higher test-taking rates among the public pre-K group, especially for underrepresented groups. With the establishment of the Universal Prekindergarten in New York City in 2015, our results highlight the importance of instituting new policies for promoting the dissemination of information regarding the G & T admissions process within the public school sector. If targeted to address diversity in G & T, such policies could help reduce inequality in gifted education."
9,2020.0,Factors Associated With Gifted Identification for Ethnically Diverse Children in Poverty,"Factors Associated With Gifted Identification for Ethnically Diverse Children in Poverty achievement gap; diversity; excellence gap; gifted identification We analyzed data from a large-scale (N= 39,213), longitudinal study of urban students to assess child factors (gender, ethnicity, English language learner status, school readiness skills, type of pre-K attended, early elementary school academic performance) prospectively associated with eventual gifted identification in elementary school. Overall, 14.2% of students were identified as gifted in K-5th grade, with the majority identified by second grade. Multivariate logistic regression analyses revealed that White and Latino students were more likely to be identified as gifted than Black students, even controlling for poverty and early academic performance. English language learners, boys, and those who attended public school pre-K programs were more likely to be identified controlling for other factors. School readiness assessments were also useful for predicting giftedness."
10,2020.0,What's in Your Gifted Education Online Teacher Professional Development? Incorporating Theory- and Practice-Based Elements of Instructional Learning Design,"What's in Your Gifted Education Online Teacher Professional Development? Incorporating Theory- and Practice-Based Elements of Instructional Learning Design distance education; gifted; mixed methods; professional development; survey research; teacher education This article examined six theory- and practice-based elements of instructional learning design in online teacher professional development (oTPD), how these elements were implemented into Edinger's PACKaGE model of gifted education oTPD, and how teachers evaluated each element. Elements were based on Berge's (1995) instructor roles model theory and gifted education research. Each element was evaluated by teachers (N= 184) who completed oTPD designed from the PACKaGE model. Self-report survey findings suggest that teachers considered most elements, such as asynchronous discussion board and article review assignments, to be useful to a great extent to their gifted education learning and pedagogy. However, teachers reported less usefulness for the online group project element. This finding directly contrasts with researchers' suggestions for oTPD. These findings may encourage teachers to choose theory- and research-based oTPD. PD designers can investigate and implement oTPD elements that satisfy instructional design model needs for optimal teacher learning and gifted education pedagogy."
