kor_full,no,title,year
멀티미디어 원격교육에 관한 연구    ,1.0,멀티미디어 원격교육에 관한 연구,1997.0
교육용 하이퍼미디어 자료 편집기에 관한 연구    ,2.0,교육용 하이퍼미디어 자료 편집기에 관한 연구,1997.0
인터넷 기반의 코스웨어의 설계 및 구현    ,3.0,인터넷 기반의 코스웨어의 설계 및 구현,1997.0
Web에서의 협력 환경 구축 방안 연구    ,4.0,Web에서의 협력 환경 구축 방안 연구,1997.0
열린교육에서의 개별화수업과 CAI    ,5.0,열린교육에서의 개별화수업과 CAI,1997.0
화일조직을 위한 인덱싱 기법의 성능 특성 비교    ,6.0,화일조직을 위한 인덱싱 기법의 성능 특성 비교,1997.0
정보화시대를 대비한 CAI로서의 Web 활용    ,7.0,정보화시대를 대비한 CAI로서의 Web 활용,1997.0
변형에 무관한 필기체 문자 인식을 위한 퍼지 신경망과 학습 알고리즘    ,8.0,변형에 무관한 필기체 문자 인식을 위한 퍼지 신경망과 학습 알고리즘,1997.0
"하이퍼미디어 메뉴방식과 메타인지가 오류, 메뉴탐색 시간 및 학업성취에 미치는 효과    ",9.0,"하이퍼미디어 메뉴방식과 메타인지가 오류, 메뉴탐색 시간 및 학업성취에 미치는 효과",1997.0
초등교육자료 데이타베이스 구축 및 활용방안   수업의 안내자인 교사는 다양하고 새로운 지식을 습득하여 학생들에게 필요적절 할 때 제공해야 한다. 그러나 여러 가지 원인들로 인하여 교사들의 자기 연구와 사전 지식습득이 원활히 이루어지지 못하고 있는 실정이다. 이에 본 연구에서는 전국에 흩어져 있는 초등교육자료를 데이타베이스화하여 기존에 구축되어 있는 교육전산망에 연결시켜 서비스를 제공함으로써 일선학교 및 전국 어디에서나 초등교육에 관한 자료를 공유할 수 있는 초등교육자료 데이타베이스시스템을 구축하기 위한 방안을 제시하였다.,10.0,초등교육자료 데이타베이스 구축 및 활용방안,1997.0
