no,year,title,kor_full
1,1997,멀티미디어 원격교육에 관한 연구,멀티미디어 원격교육에 관한 연구    
2,1997,교육용 하이퍼미디어 자료 편집기에 관한 연구,교육용 하이퍼미디어 자료 편집기에 관한 연구    
3,1997,인터넷 기반의 코스웨어의 설계 및 구현,인터넷 기반의 코스웨어의 설계 및 구현    
4,1997,Web에서의 협력 환경 구축 방안 연구,Web에서의 협력 환경 구축 방안 연구    
5,1997,열린교육에서의 개별화수업과 CAI,열린교육에서의 개별화수업과 CAI    
6,1997,화일조직을 위한 인덱싱 기법의 성능 특성 비교,화일조직을 위한 인덱싱 기법의 성능 특성 비교    
7,1997,정보화시대를 대비한 CAI로서의 Web 활용,정보화시대를 대비한 CAI로서의 Web 활용    
8,1997,변형에 무관한 필기체 문자 인식을 위한 퍼지 신경망과 학습 알고리즘,변형에 무관한 필기체 문자 인식을 위한 퍼지 신경망과 학습 알고리즘    
9,1997,"하이퍼미디어 메뉴방식과 메타인지가 오류, 메뉴탐색 시간 및 학업성취에 미치는 효과","하이퍼미디어 메뉴방식과 메타인지가 오류, 메뉴탐색 시간 및 학업성취에 미치는 효과    "
10,1997,초등교육자료 데이타베이스 구축 및 활용방안,초등교육자료 데이타베이스 구축 및 활용방안   수업의 안내자인 교사는 다양하고 새로운 지식을 습득하여 학생들에게 필요적절 할 때 제공해야 한다. 그러나 여러 가지 원인들로 인하여 교사들의 자기 연구와 사전 지식습득이 원활히 이루어지지 못하고 있는 실정이다. 이에 본 연구에서는 전국에 흩어져 있는 초등교육자료를 데이타베이스화하여 기존에 구축되어 있는 교육전산망에 연결시켜 서비스를 제공함으로써 일선학교 및 전국 어디에서나 초등교육에 관한 자료를 공유할 수 있는 초등교육자료 데이타베이스시스템을 구축하기 위한 방안을 제시하였다.
11,1998,컴퓨터 윤리에 관한 연구,컴퓨터 윤리에 관한 연구    
12,1998,자바언어를 이용한 원격교육용 CAI 코스웨어 모델,자바언어를 이용한 원격교육용 CAI 코스웨어 모델    
13,1998,안전한 접근 경로를 보장하기 위한 접근 제어,안전한 접근 경로를 보장하기 위한 접근 제어    
14,1998,에이전트 기반 교수시스템의 설계,에이전트 기반 교수시스템의 설계    
15,1998,교육용 데이터베이스 시스템 구축을 위한 연구,교육용 데이터베이스 시스템 구축을 위한 연구    
16,1998,지능형 교수시스템에서 동적레슨플랜생성기의 설계,지능형 교수시스템에서 동적레슨플랜생성기의 설계    
17,1998,차세대 지능망의 지능형 정보 제공 시스템을 위한 데이터베이스 모델,차세대 지능망의 지능형 정보 제공 시스템을 위한 데이터베이스 모델    
18,1998,CAI 응용프로그램 작성시 자료공유를 위한 한글 코드 체계 정의에 관한 연구,CAI 응용프로그램 작성시 자료공유를 위한 한글 코드 체계 정의에 관한 연구    
19,1998,보안 서비스를 제공하기 위한 이동 에이전트 시스템의 설계에 관한 연구,보안 서비스를 제공하기 위한 이동 에이전트 시스템의 설계에 관한 연구    
20,1998,초등학교 교육정보화의 현주소,초등학교 교육정보화의 현주소    
21,1998,교육환경의 변화에 따른 교육용 소프트웨어의 평가,교육환경의 변화에 따른 교육용 소프트웨어의 평가    
22,1998,정보시대와 디지털라이브러리,정보시대와 디지털라이브러리    
23,1998,주문형 교육 시스템 개발,주문형 교육 시스템 개발    
24,1998,온라인 초등교육정보 지원 시스템 : 온초,온라인 초등교육정보 지원 시스템 : 온초    
25,1998,오류데이터를 이용한 소프트웨어 품질평가,오류데이터를 이용한 소프트웨어 품질평가    
26,1998,초.중등 컴퓨터활용능력 신장을 위한 급수제 모델 개발,초.중등 컴퓨터활용능력 신장을 위한 급수제 모델 개발    
27,1998,클러스터드 VOD 서버에서 가변 비트율을 고려한 스트라이핑 정책,클러스터드 VOD 서버에서 가변 비트율을 고려한 스트라이핑 정책    
